0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 200 15876
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 200 58756
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 200 39727
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 200 57584
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 200 20220
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/testimonials/testimonials-5.jpg HTTP/1.1" 200 22595
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-1.jpg HTTP/1.1" 200 40201
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-2.jpg HTTP/1.1" 200 49059
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-3.jpg HTTP/1.1" 200 36680
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team/team-4.jpg HTTP/1.1" 200 27423
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-1.png HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-2.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-3.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-4.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-5.png HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-6.png HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-7.png HTTP/1.1" 200 5616
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/clients/client-8.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-1.jpg HTTP/1.1" 200 83878
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-3.jpg HTTP/1.1" 200 93369
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/blog/blog-2.jpg HTTP/1.1" 200 112816
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/hero-bg.png HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/team-shape.svg HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/img/footer-bg.png HTTP/1.1" 200 10959
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:05 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:05 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:05 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:05 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 404 884
